stars,comment
4.0 out of 5 stars,"









  
  
    
  For an ""elite"" gaming mouse with impressive features and a price to match, the quality of Razer is absolute trash. I don't know anyone who buys high-end mouses with the expectation of them being disposable in 6 months. I looked at the bottom of the mouse and it says its made in China, go figure. The limited warranty is for 2 years, so this mouse is now going through the RMA process. But after searching online about this problem, I'm not hopeful that the mouse will not return to this state after another 6 months. It seems that Razer mouses have been having this scroll-wheel-failure issue for years.Now I know what mouse brand I'm no longer buying. If you want a mouse that will stay working, looking elsewhere!UPDATE:My Razer Deathadder Elite's failed scroll wheel was determined irrepairable and required a replacement, but this mouse is now out of stock (probably discontinued due to its failures). I was offered the newer Deathadder to replace it, and so I'm now quite happy with the superior mouse. What I appreciate most bout the Deathadder is its incredible ergonomics, among many other well-designed features. So I've revised my rating from 1 star to 4 stars, because of the replacement and the fact that it is a top-of-the-line gaming mouse--if it doesn't fail. I wouldn't give it five stars just because the previous model died within six months, and the mandatory bloatware is not appreciated for a mouse.

  
"
2.0 out of 5 stars,"









  
  
    
  Every time my computer starts or restarts Synapse 3 requests 'which account' to use and requires sign in to use settings. A password, name, address, phone number are requested to get Razer ID to use the software. They record FPS and other data which supposedly you can view. All this to ""improve your gaming experience"". Apparently all settings are cloud based. Razer says mouse settings should work off line. If it's a setting i haven't found it.This is not a new issue. Ars Technica wrote in 2012 “Why the hell does this mouse need to connect to the Internet?” Read what info Razer/Synapse 3 collect. If you don't care ------.  If you clear browsing history, and cookies Synapse 3 requires sign or the mouse is basically a regular mouse.I will use it without Synapse 3. I have had a UtechSmart-Venus for over a year that, after setup, has never lost a setting and requires no Utech ID.Edit: LMB  sometimes fails . I returned it. Caveat emptor

  
"
2.0 out of 5 stars,"









  
  
    
  The unit is just built cheap. Not the quality product you expect from a major brand name like Razor. This entry level into the low end market sacrifices quality in too many places ranging from the feel of the plasticky mouse, its weight, and material used on the foot of the mouse. It did come with a nice USB cord, but that was about it.The reason for the two star review is the scratchy noise coming from the pads on the product which forced me to stop using. A mouse, whether or not it's expensive or in-expensive, need feet that glide smoothly on a mousing surface. This mouse consistently made a noticeable grinding noise across a hard surface mouse pad (steelseries gaming mouse pad), where other mice do not have any issues. I attribute this to part of their material selection and cheaper build which resulted in a poor user experience.I guess I bought it to ""try"" a Razor mouse. Shape was actually good, and I'm sure the sensor electronics are sufficient, but build quality was sacrificed to the point that it made it annoying to use.Also this review asks me to rate ""battery life"" on a corded mouse... so... 1 star on this rating = NO battery life.

  
"
1.0 out of 5 stars,"









  
  
    
  O.K., Im going to ""throw"" this to the air. Nobody at Razer is listening mac users? I bought this Deathadder thinking how will improve and nothing. absolutely nothing. It doesnt do anything. Doesn't support through internet. I Downloaded  the synapse two and just found out it doesn't work with this mouse, so is like nothing. The worse part is doesnt even work properly without the software, slow  track, have to extend the wrist to move it to the screen at max scrolling speed AND the OS forgets the assigned speed once you close the tab. Honestly, is my mistake, didn't read but magic about the brand and went without asking about mac compatibility (and there is a very disappointed community here). Make me look other options to run an egpu (wanted to buy the chroma but hey... Giving this silent feedback just for a mouse).  NO SIRVE PARA MAC!  If somebody know how to bypass this to configure the mouse, let me know... Because not even using usb override it recognizes it.

  
"
1.0 out of 5 stars,"









  
  
    
  The mouse left click started to break within the first 4 months but as of today I can't drag windows from one screen to another. It just stops acknowledging of the mouse click and being held. It feels fine in the hand which is the only reason why I gave it a chance but for a mouse to be unusable less than a year of use is not something should be overlooked. I don't play shooting games, mostly mmos and rpgs. I don't play games that requires a lot of clicks to work but yet this mouse has broken down like I have. I have not dropped it or thrown it. I'm going to see what can be done with the limited warranty after I buy a new mouse but just beware as you buy this.

  
"
5.0 out of 5 stars,"









  
  
    
  Last week the middle mouse button on my Corsair M65 finally gave out after months of poor functionality, and I was compelled to buy a new mouse.  On Amazon, I looked at reviews for a Logitech Mouse, a similar Corsair, and the Death Adder.  At the time, I liked my Corsair very much and probably would have bought another one if it hadn't been for a few reviews stating that the middle mouse button was effectively prone to failure.  So I went with the Death Adder despite some otherwise glowing reviews of the Corsair, and a higher price tag.The first thing I noticed about the Death Adder was how light it is.  The box itself felt feather light.  The next, how large; it really is a big mouse.  The cord, too, is light but supple, an improvement over the thicker, stiffer Corsair's.  When I plugged it in, the Razer logo was set to ""breathing.""  After downloading Synapse, the Razer software app, I changed the lighting to ""static"" and lowered the brightness to its dimmest setting.  My Death Adder now emits a dim green glow that is not over powering.  The Corsair's lighting effects were so aggressive I'd turned them off long ago.After getting into a game to check out the mouse feel, I realized I didn't like the default lack of acceleration.  Many gamers think acceleration is entirely bad, but in my experience a touch of acceleration is a good thing (for an example of awful acceleration software, use a mouse on a Macintosh computer).  So I went into Synapse and landed on a DPI of 1800, with acceleration at ""2"" out of 10.  With those settings I was very happy with the mouse performance, and am using it like that a few days later without complaint.After I'd calibrated the mouse to my liking I decided to plug in the Corsair to see how they compared.  At the time, I expected no big difference.  I thought, if someone were to ask me about which mouse to buy, I wouldn't have a strong opinion.  A mouse is a mouse.  The Corsair is heavier, so if you want a heavy mouse, avoid the lighter Death Adder....  Wow, was I wrong.  Even after trying to tweak the Corsair settings (which were less robust, with seemingly no way to adjust acceleration), I could not get it to feel as zippy and responsive as the Death Adder.  The heaviness of the mouse was oppressive, whereas the lightness of the Death Adder made it slightly addictive and fun to use.  Now, I find myself holding the Death Adder and mousing around for no reason but the pleasure of it.The only thing I'm on the fence about with this mouse is the size.  It really is a big mouse, with a pronounced arch.  I think I've gotten used to it, though.  This is coming from a really big guy who can almost palm a basketball.  So if you have small hands you may not like this mouse, though it most certainly is worth giving a shot.  Another thing I'd like to touch on is the aesthetics.  I think this is a really cool looking mouse, though some may find it tacky.  It's a fun gaming mouse design with a really neat logo that glows dim green (as per my setting).  I find myself glancing over at it a lot, and I think it's cool.One thing this experience has reminded me of is how important it is to invest in quality products.  I got into a game of Borderlands 2 the other day, and I couldn't believe how great it felt.  It's because of the mouse.  Don't cheat yourself by using cheap stuff if you can afford otherwise.

  
"
2.0 out of 5 stars,"









  
  
    
  This mouse is poorly designed and terrible for gaming. Under the mouse wheel, there are 2 buttons that let you toggle your mousespeed up and down. Unfortunately, during an intense online video game match (DOTA, Overwatch, Counter-Strike, hell even freakin' Hearthstone), those 2 tiny buttons right under the mouse wheel WILL get accidentally pushed. The slightest touch triggers them, sending your cursor all over the place and often to an untimely death.The Chroma doesn't have this issue, because it doesn't have those 2 useless buttons under the wheel. Skip The Elite, get the Chroma

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this to replace my very old Death Adder that I've had for I think 15 years now.  The only thing wrong with the old one was that the USB connector had become a little touchy over time and would have to be frequently re-seated into the USB port.The Death Adder is VERY comfortable for me to grip.  I have a ""nicer model"" (Mamba I think) that is just awkward to hold.  The Death Adder is something that I can use comfortably for hours and the programmable buttons are very handy for use with work (such as copy / paste).  I'm very happy that my previous mouse held up for so many years.  It shows very good quality and I hope that this new one does too.The tracking is very customized allowing you to configure it for various surface /pore density and response speed.The ONLY thing I do not like about the Razer mice is not being able to have a dynamic wheel scrolling speed - where the faster you spin the wheel, the greater quantity of lines per ""tick"" that the input recognizes.  This particular setting must be controlled through the Windows mouse settings and is a hard set value of quantity of lines per tick rather than being a variably adjustable value.  Maybe this is a fault in Windows, maybe it is a fault in the Razer Synapse software.

  
"
1.0 out of 5 stars,"









  
  
    
  Useless product as to use their settings app you have to agree to logging of your every mouse click and keystroke (!), AND SEND THIS INFORMATION TO THEM.Not buying from this ridiculous company anymore.

  
"
5.0 out of 5 stars,"









  
  
    
  Everyone knows the Razer Deathadder. It's a chonky boi that fits my large hands and gives me comfort rather than those baby mice of other companies. Nevertheless, they were not without flaws. I am upgrading from a Deathadder Elite after the scroll wheel started to bug out (after 3 years) and it would scroll UP at times when I was scrolling down. The v2 has a number of improvements I think are noticeable.1. The side grips are now integrated into the mouse. This is noticeable because on my previous version, it would peel off. Very annoying.2. The mouse wheel is more tactile and has definite ""stops"" in its traction. Honestly, I think I prefer the softer feel of the deathadder elite, but this feels more structurally sound.3. RBG is brighter. Yay RBG, go knock yourself out. It's actually too bright for me so I had to turn it down.4. PEG feet on the bottom are sturdier and glide better. Minor improvement, but still felt I had to mention it.5. Overall texture on the mouse is slightly more grippy. Let's see if it holds up to 2+ years of skin oil though.Click action, tracking pristine as always.

  
"
