,name,grape_variety,description
0,"Edouard Delaunay 'Septembre' Chardonnay 2019, Burgundy",Chardonnay,"One half of the Abbotts & Delaunay powerhouse, Laurent Delaunay, has returned to Burgundy to resurrect his family's winemaking estate. And he's made some excellent wine on the way, like this Chardonnay. It's barrel-aged and stirred on texture-building lees. This results in a gloriously indulgent wine that stands with some of the finest oaked whites. Expect expressive hints of citrus, white chocolate, butter and hazelnut. Pair with an equally buttery lobster dish."
1,The Ned Waihopai River Sauvignon Blanc 2020 Marlborough,Sauvignon Blanc,"Our bestselling white wine. Winemaker Brent Marris’ father was the first person to plant Sauvignon vines in Marlborough. It seems extraordinary that in a single generation a whole new type of wine could have been developed. Brent has had just as big an impact on Kiwi Sauvignon as his dad. He’s got rafts of awards, and has launched multiple famous wine brands. Suffice to say, he really knows what he’s doing and that comes through in The Ned Waihopai River Sauvignon Blanc. Its magic is that it is so consistently, definitively a Marlborough Sauvignon. It’s tropical, it’s citrussy – it’s the most refreshing thing you could pour into your glass at 6pm. Full of gooseberry and grapefruit flavours, it’s grassy, tropical and seriously aromatic. Fantastic with Thai-style fish cakes."
2,The King's Favour Sauvignon Blanc 2019/20 Marlborough,Sauvignon Blanc,"Brent Marris is winemaking royalty. And it turns out, he may be descended from actual royalty too. His ancestor, William de Marisco was rumoured to be the illegitimate son of Henry I – not that that guaranteed the family good relations with royalty. The de Mariscos spent much of the 12th and 13th centuries living a life of piracy on the Isle of Lundy. Brent created the King Series to celebrate his family’s history, and their tempestuous relationship with the monarchy. This is a classic Waihopai Sauvignon Blanc – an important Marlborough sub-region where the wines are particularly vibrant. Think guava, gooseberry and a hint of blackcurrant leaf which sets this apart from the standard. Of course, it’s also mouth-wateringly fresh – a dream with barbecued fish with mango salsa."
3,"Château Livran 2014, Médoc",Cabernet Sauvignon,"Château Livran once belonged to both Edward I and Pope Clement V. It was also a hub for the French Resistance. Today, it's run by Edwige Lurton Michon and Olivier Michon. Edwige is the daughter of famed Bordeaux expert Lucien Lurton. She's followed in his footsteps to continue Château Livran’s impressive history. This is a supple red with elegant tannins. Expect sophisticated notes of blackcurrant, mulberry and hints of spice. Partner with roast chicken."
4,Cave de Lugny 'Reserve' Mâcon-Chardonnay 2019,Chardonnay,"The small village of Mâcon-Chardonnay isn’t coincidentally named. It claims to be the birthplace of Chardonnay and made a name for itself in the nineteenth century for producing high-quality Chardonnay wines. Cave de Lugny are a true specialist – they’re the biggest white Burgundy producer in the world, but they don’t rest on their laurels. They’re determined to prove that classic Burgundy doesn’t have to be boring or expensive. This wine is a case in point. Despite its history, as a lesser-known region it’s great value for money. It’s rested on its lees – spent yeast particles – which intensifies the flavours and gives the texture a creaminess which is really moreish. It’s got lovely ripe fruit flavours. Peach. Apricot. Apple. Citrussy freshness. It’s fantastic with soft, creamy cheese."
5,"Krasno Sauvignon Blanc Ribolla 2019, Brda",Sauvignon Blanc,"If you choose right, you can find a real bargain in Slovenia. We can't think of a better example than Krasno's delightful white wines. This is made just over the border from Fruli, in Italy, where similar wines demand considerably higher prices. It's fresh and elegant, with plenty of green-apple flavours, floral aromas and a fruity finish. Try it with white fish."
6,"Bread & Butter Chardonnay 2019, California",Chardonnay,"This really does what it says on the tin. It’s a lush Chardonnay which tastes of – you guessed it – bread and butter. But it’s a lot more than just a creamy and comforting hug of a wine. The way it’s made makes it really exciting. The winemaker combined grapes from two very different regions. Monterey is known for its big Chardonnays, thanks to the generous length of the growing season. On the other hand, Carneros is far cooler, so the flavours are more understated. The briochey notes that make us think of Champagne. Bring the two together and you get this – a marriage of styles which is full but fresh, rich but refreshing. It’s a very comforting, warm style of Chardonnay. It’s packed with flavour and is fantastic with food – anything with brown butter sauce is heaven. We can’t lie – it’s not a subtle wine. But that’s why we love it, and why you will too."
7,"Edna Valley Pinot Noir 2018, Central Coast",Pinot Noir,"Halfway between LA and San Francisco you’ll find Edna Valley AVA, a stone’s throw from the Pacific. It’s not as well-known as regions like Napa and Sonoma – making it an enclave of not just quality, but value too. When Jack Niven first arrived in the valley in the 1970s, his ambition to plant vines in what was then dairy pasture was laughed out of the room. But he preserved, and pioneered not just vineyards, but the certification of the region as an American Viticultural Area. Edna Valley Vineyard was born – and forty years later, it’s still making wines which are true to the cool, coastal climate. This Pinot Noir is a case in point. Light and silky, it’s a wonderfully fresh style. It’s full of blackberry and black cherry flavours – with a touch of tart cranberry. Ideal with roast lamb."
8,Louis Latour Mâcon-Lugny 2019,Chardonnay,"We’ve sold this wine for thirty years – and for that whole time it’s been a bestseller. Why’s it so popular? White Burgundy is a go-to for Chardonnay drinkers, and the Mâconnais in particular offers great value. Unlike the northern Côtes, the southern part of Burgundy doesn’t have a formalised vineyard hierarchy system. So the wines tend to be a bit more wallet-friendly. Not to mention, Lugny is one of the best regarded villages in the Mâcon, and Latour one of the most famous houses. Honeyed. Peachy. Crisp. A dream with salty finger foods or a classic Sunday roast chicken. It’s proof that sometimes it pays to stick with the old favourites."
9,Pommery 'Brut Royal' Champagne,Chardonnay,"Looking for a luxurious gift that's sure to spoil? This Pommery Brut Royal comes ready-wrapped in a unique presentation box. Pommery has been made in Reims since 1836, and they were the first house to pioneer the brut style of Champagne. It's a style they continue to make to this day. This famous non-vintage wine has been matured for three years in their historical chalk cellars. So you can expect excellence in every sip. It shows bright, lively notes of honey, almond, brioche and citrus. It's the perfect way way to toast life's big moments"
